Key;Russian;English;Tatar;Chuvash
AuthLoginWatermark;Введите имя;Enter first name;Исемне кертегез;Ята кӗртӗр
AuthPasswordWatermark;Введите пароль;Enter password;Серсүзне кертегез;Пароль кӗртӗр
CategoryAddWatermark;Введите название;Enter name;Исемен кертегез;Ятне кӗртӗр
CategorySelectWatermark;Выберите категорию;Select a category;Категорияне сайлагыз;Категори суйласа илӗр
DeleteArticleWatermark;Введите артикул товара;Enter product article number;Товар артикулын кертегез;Товар артикулне кӗртӗр
EditArticleWatermark;Артикул;Article;Артикул;Артикул
EditCategoryWatermark;Введите название;Enter name;Исемен кертегез;Ятне кӗртӗр
EditNameWatermark;Название;Name;Исеме;Ячӗ
EditPriceWatermark;Цена;Price;Бәя;Хак
ProductArticleWatermark;Введите артикул;Enter article number;Артикулны кертегез;Артикул кӗртӗр
ProductNameWatermark;Введите название;Enter name;Исемен кертегез;Ятне кӗртӗр
ProductPriceWatermark;Введите цену;Enter price;Бәяне кертегез;Хак кӗртӗр
RegConfirmPasswordWatermark;Повторите пароль;Repeat password;Серсүзне кабатлагыз;Парольне тепӗр хут кӗртӗр
RegLastnameWatermark;Введите отчество;Enter patronymic;Ата исемен кертегез;Ашшӗ ятне кӗртӗр
RegLoginWatermark;Введите логин;Enter login;Логинны кертегез;Логин кӗртӗр
RegNameWatermark;Введите имя;Enter first name;Исемне кертегез;Ята кӗртӗр
RegPasswordWatermark;Введите пароль;Enter password;Серсүзне кертегез;Пароль кӗртӗр
RegSurnameWatermark;Введите фамилию;Enter last name;Фамилияне кертегез;Фамили кӗртӗр
SearchWatermark;Поиск:;Search:;Эзләү:;Шырани:
ShipmentQuantityWatermark;Введите количество товара;Enter product quantity;Товар санын кертегез;Товар шутне кӗртӗр
UnitSelectWatermark;Выберите единицу измерения;Select a unit of measure;Үлчәү берәмлеген сайлагыз;Виҫе пӗрлӗхне суйласа илӗр
SQuantityWatermark;Введите количество товара;Enter product quantity;Товар санын кертегез;Товар шутне кӗртӗр
SPriceWatermark;Введите цену;Enter price;Бәяне кертегез;Хак кӗртӗр
SProductWatermark;Выберите товар из списка;Select a product from the list;Исемлектән товар сайлагыз;Списокран товар суйласа илӗр
SSupplierWatermark;Выберите поставщика;Select a supplier;Тәэмин итүчене сайлагыз;Поставщик суйласа илӗр
SCurrencyWatermark;Выберите валюту закупки;Select purchase currency;Сатып алу валютасын сайлагыз;Илӳ валютичӗн суйласа илӗр
ShipmentRecipientWatermark;Выберите получателя;Select recipient;Алучыны сайлагыз;Илекене суйласа илӗр
ShipmentTypeWatermark;Выберите тип отгрузки;Select shipment type;Җибәрү төрен сайлагыз;Ӑсату тӗсне суйласа илӗр
ShipmentExpiryDateWatermark;Выберите срок годности;Select expiration date;Яраклылык срогын сайлагыз;Юрӑхлӑх вӑхӑтне суйласа илӗр
NoExpiryDateWatermark;Нет срока годности;No expiration date;Яраклылык срогы юк;Юрӑхлӑх вӑхӑчӗ ҫук
ButtonConfirmSupply;Подтвердить поставку;Confirm supply;Поставканы раслау;Поставкӑна ҫирӗплет
ConfirmCancelAddProduct;"Вы уверены, что хотите отменить добавление товара?

Все введенные данные будут потеряны.";"Are you sure you want to cancel adding the product?

All entered data will be lost.";"Товар өстәүне юкка чыгарырга телисезме?

Барлык кертелгән мәгълүмат югалачак.";"Товар хушнине пӑрахасшӑн-и?

Кӗртнӗ пӗтӗм информаци ҫухалать."
ConfirmCancelDelete;Вы уверены, что хотите отменить удаление?;Are you sure you want to cancel deletion?;Бетерүне юкка чыгарырга телисезме?;Катӑртнине пӑрахасшӑн-и?
ConfirmCancelEdit;"У вас есть несохраненные изменения.

Вы действительно хотите отменить редактирование?";"You have unsaved changes.

Do you really want to cancel editing?";"Сакланмаган үзгәрешләр бар.

Үзгәртүне юкка чыгарырга телисезме?";Сохранăман улӑштарусем пур. Редакцилени пӑрахасшӑн-и?
ConfirmCancelEditWithDetails;"У вас есть несохраненные изменения.

Вы действительно хотите отменить редактирование?";"You have unsaved changes.

Do you really want to cancel editing?";"Сакланмаган үзгәрешләр бар.

Үзгәртүне юкка чыгарырга телисезме?";Сохранăман улӑштарусем пур. Редакцилени пӑрахасшӑн-и?
ConfirmCancelShipment;"У вас есть добавленные товары в списке отгрузки.

Вы действительно хотите отменить создание отгрузки?";"You have added products in the shipment list.

Do you really want to cancel creating the shipment?";"Җибәрү исемлегендә өстәлгән товарлар бар.

Җибәрү булдыруны юкка чыгарырга телисезме?";"Ӑсату списокӗнче хушнӑ товарсем пур.

Ӑсату хатӗрленине пӑрахасшӑн-и?"
ConfirmCancelSupply;Отменить поставку? Все данные будут потеряны.;Cancel supply? All data will be lost.;Поставканы юкка чыгарыргамы? Барлык мәгълүмат югалачак.;Поставкӑна пӑрахас-и? Пӗтӗм даннӑйсем ҫухалӗҫ.
ConfirmDeleteCategory;"Вы действительно хотите удалить категорию ""{0}""?";"Do you really want to delete category ""{0}""?";"""{0}"" категориясен бетерергә телисезме?";{0} категорине катӑртасшӑн-и?
ConfirmDeleteCategoryWithProducts;"В категории ""{0}"" находится {1} товаров.

Вы уверены, что хотите удалить категорию и все товары в ней?
Это действие нельзя отменить.";"Category ""{0}"" contains {1} products.

Are you sure you want to delete the category and all products in it?
This action cannot be undone.";"""{0}"" категориясендә {1} товар бар.

Категорияне һәм андагы барлык товарларны бетерергә телисезме?
Бу гамәлне кире кайтарып булмый.";"""{0}"" категорире {1} товар пур.

Категорине тата унти пӗтӗм товарсене катӑртасшӑн-и?
Ку ӗҫе каялла тавӑраймастӑр."
ConfirmDeleteProduct;"Вы действительно хотите удалить товар?

Артикул: {0}
Название: {1}
Категория: {2}
Цена: {3:F2}
Остаток: {4} {5}

Это действие нельзя отменить!";"Do you really want to delete the product?

Article: {0}
Name: {1}
Category: {2}
Price: {3:F2}
Stock: {4} {5}

This action cannot be undone!";"Товарны бетерергә телисезме?

Артикул: {0}
Исеме: {1}
Категория: {2}
Бәя: {3:F2}
Калдык: {4} {5}

Бу гамәлне кире кайтарып булмый!";"Товар катӑртасшӑн-и?

Артикул: {0}
Ячӗ: {1}
Категори: {2}
Хак: {3:F2}
Юлашки: {4} {5}

Ку ӗҫе каялла тавӑраймастӑр!"
ConfirmRemoveShipmentItem;"Удалить товар ""{0}"" из списка отгрузки?";"Remove product ""{0}"" from the shipment list?";"""{0}"" товарын җибәрү исемлегеннән бетерергәме?";{0} товарне ӑсату списокӗнчен катӑртас-и?
ConfirmShipment;"Подтвердить отгрузку?

Получатель: {0}
Количество позиций: {1}
Общая сумма: {2:C2}";"Confirm shipment?

Recipient: {0}
Number of items: {1}
Total amount: {2:C2}";"Җибәрүне расларгамы?

Алучы: {0}
Позицияләр саны: {1}
Гомуми сумма: {2:C2}";"Ӑсату ҫирӗплетес-и?

Илекен: {0}
Позици шучӗ: {1}
Пӗтӗм сумма: {2:C2}"
ConfirmSupplyFormat;"Подтвердить поставку?
Общая сумма: {0}";"Confirm supply?
Total amount: {0}";"Поставканы расларгамы?
Гомуми сумма: {0}";"Поставкӑ ҫирӗплетес-и?
Пӗтӗм сумма: {0}"
CurrencyBYN;Белорусский рубль;Belarusian ruble;Беларусь рубле;Белорус рублӗ
CurrencyChangeConfirm;"Валюта изменена с {0} на {1}
Курс: 1 RUB = {2:F4} {3} 

Все цены будут пересчитаны в {4}.
Продолжить?";"Currency changed from {0} to {1}
Rate: 1 RUB = {2:F4} {3}

All prices will be recalculated in {4}.
Continue?";"Валюта {0} дан {1} гә үзгәртелде
Курс: 1 RUB = {2:F4} {3}

Барлык бәяләр {4} валютасына яңадан исәпләнәчәк.
Дәвам итәргәме?";"Валюта {0}-ран {1}-а улӑштарнӑ
Курс: 1 RUB = {2:F4} {3}

Пӗтӗм хаксем {4}-ра каллех шутланӑҫҫӗ.
Малалла-и?"
CurrencyChangeTitle;Изменение валюты;Currency change;Валюта үзгәртү;Валютӑ улӑшни
CurrencyCNY;Китайский юань;Chinese yuan;Кытай юане;Китай юанӗ
CurrencyEUR;Евро;Euro;Евро;Евро
CurrencyGBP;Британский фунт;British pound;Британия фунты;Британи фунчӗ
CurrencyJPY;Японская иена;Japanese yen;Япония иенасы;Япони иенӗ
CurrencyKZT;Казахстанский тенге;Kazakhstani tenge;Казакъстан тәңкәсе;Казахстан тенге
CurrencyRUB;Российский рубль;Russian ruble;Россия сумы;Раҫҫей рублӗ
CurrencyUSD;Доллар США;US dollar;АКШ доллары;АКШ долларӗ
